/data/Automation/main/tests/unit_tests/3dworkbench
['./DMeshTest_board_test_cut2', '0:00:56', 'PASSED']
['./arista_VerticalPorts_14', '0:00:00', 'PASSED']
['./arista_VerticalPorts_7', '0:00:00', 'PASSED']
['./arista_VerticalPorts_3', '0:00:02', 'PASSED']
['./arista_VerticalPorts_12', '0:00:04', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part1
['./58Dieblock_matfile', '0:01:22', 'PASSED']
['./4diff_4port_wp', '0:03:25', 'PASSED']
['./ABC_boundary', '0:02:09', 'PASSED']
['./CCMPR02495122_open_spd_crash', '0:00:01', 'PASSED']
['./2635280_lossymaterial', '0:00:59', 'PASSED']
['./2772972_new_wave_port_xmesh', '0:05:20', 'PASSED']
['./Asus_cut_step7_setting', '0:03:40', 'PASSED']
['./CCMPR02323184', '0:00:08', 'PASSED']
['./56asym_strip', '0:03:07', 'PASSED']
['./0_metal_Z_location_initialmesh', '0:00:00', 'PASSED']
['./0_metal_Z_location', '0:01:51', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part2
['./CLA_Lumped_Both', '0:00:44', 'PASSED']
['./MTC_overlapcase', '0:10:37', 'PASSED']
['./filldie_sfreq', '0:01:51', 'PASSED']
['./Fill_in_multiple_solution_frequency_crash', '0:00:00', 'PASSED']
['./Mapping_top_bottom', '0:01:51', 'PASSED']
['./initial_mesh_Horn_Coax_feed_RecreateWaveports', '0:03:43', 'PASSED']
['./TempMapping_FiberWeave_Dmesh', '0:02:37', 'PASSED']
['./initial_mesh_Design1_3DComp', '0:00:59', 'PASSED']
['./Wave3DSettingmeshAlgorithm_SNR', '0:00:00', 'PASSED']
['./CCMPR02507989_clf_incorrect_deembeding_snp_header_precheckin', '0:01:21', 'PASSED']
['./Wirebond_KNSstandard_Dmesh', '0:02:22', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part3
['./oneTrace_PEC_layers', '0:02:28', 'PASSED']
['./rect-WG-single-mode-propagation-region', '0:00:45', 'PASSED']
['./legacy_antenna', '0:00:03', 'PASSED']
['./lmesh_thick_vias', '0:01:39', 'PASSED']
['./one_trace_low_freq_solution_CCMRP02620552', '0:00:48', 'PASSED']
['./regr_strip_diff_sep_wp_2764484', '0:04:39', 'PASSED']
['./port_generation_model', '0:02:09', 'PASSED']
['./multi_structure', '0:03:22', 'PASSED']
['./regr_one_trace_c3d', '0:00:12', 'PASSED']
['./legacy_antenna_fields', '0:00:00', 'PASSED']
['./magnetic_pwl_discrete_legacy', '0:01:36', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part4
['./zero_thickness_rect_WG_4-mode_external_PEC_discrete', '0:04:33', 'PASSED']
['./volumnmesh_failed', '0:03:13', 'PASSED']
['./thick_rect_WG_2-mode_external_DC_thickness_copper', '0:07:30', 'PASSED']
['./xmesh', '0:02:21', 'PASSED']
['./smodel_0_10GHz_update', '0:01:37', 'PASSED']
['./rfin_mmic_nom', '0:04:51', 'PASSED']
['./zero_thickness_rect_WG_4-mode_external_PEC_AFS', '0:03:48', 'PASSED']
['./strip1_3x_mixed', '0:00:43', 'PASSED']
['./workbench_AWR_flow_case', '0:00:42', 'PASSED']
['./wave3d_prepare_three_traces', '0:00:00', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/ECAD
['./StaticT_IR_PCB', '0:00:13', 'PASSED']
['./2d_static_demo_LDFlow', '0:00:05', 'PASSED']
['./StaticT_pcb_pkg_merge', '0:00:18', 'PASSED']
['./encrypted_powermap', '0:00:10', 'PASSED']
['./Sample4_static', '0:00:02', 'PASSED']
['./TDV_Four_chips', '0:00:06', 'PASSED']
['./single_transient_pwrmap_leakage_pwrmap', '0:00:15', 'PASSED']
['./Sample4_transient', '0:01:36', 'PASSED']
['./Sample6_pkg_characterization_1', '0:00:07', 'PASSED']
['./Extraction_IR_PCB', '0:01:54', 'PASSED']
['./2D_TransientET', '0:01:37', 'PASSED']
['./ThreeDHier', '0:02:21', 'PASSED']
['./chip_static_TSV_size_diff', '0:00:00', 'PASSED']
