/data/Automation/main/tests/unit_tests/3dworkbench
['./DMeshTest_board_test_cut2', '0:00:56', 'PASSED']
['./arista_VerticalPorts_14', '0:00:03', 'PASSED']
['./arista_VerticalPorts_7', '0:00:02', 'PASSED']
['./arista_VerticalPorts_3', '0:00:03', 'PASSED']
['./arista_VerticalPorts_12', '0:00:05', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part1
['./58Dieblock_matfile', '0:01:24', 'PASSED']
['./4diff_4port_wp', '0:03:15', 'PASSED']
['./ABC_boundary', '0:01:37', 'PASSED']
['./CCMPR02495122_open_spd_crash', '0:00:00', 'PASSED']
['./2635280_lossymaterial', '0:00:37', 'PASSED']
['./2772972_new_wave_port_xmesh', '0:02:05', 'PASSED']
['./Asus_cut_step7_setting', '0:00:27', 'PASSED']
['./CCMPR02323184', '0:00:06', 'PASSED']
['./56asym_strip', '0:03:06', 'PASSED']
['./CCMPR02507989_clf_incorrect_deembeding_snp_header_precheckin', '0:01:22', 'PASSED']
['./0_metal_Z_location', '0:01:37', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part2
['./CLA_Lumped_Both', '0:00:45', 'PASSED']
['./MTC_overlapcase', '0:08:23', 'PASSED']
['./filldie_sfreq', '0:01:37', 'PASSED']
['./Fill_in_multiple_solution_frequency_crash', '0:00:00', 'PASSED']
['./Mapping_top_bottom', '0:01:36', 'PASSED']
['./initial_mesh_Horn_Coax_feed_RecreateWaveports', '0:03:36', 'PASSED']
['./TempMapping_FiberWeave_Dmesh', '0:03:22', 'PASSED']
['./initial_mesh_Design1_3DComp', '0:00:50', 'PASSED']
['./Wave3DSettingmeshAlgorithm_SNR', '0:00:00', 'PASSED']
['./Wirebond_KNSstandard_Dmesh', '0:02:22', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part3
['./oneTrace_PEC_layers', '0:02:38', 'FAILED']
['./rect-WG-single-mode-propagation-region', '0:00:37', 'PASSED']
['./legacy_antenna', '0:00:02', 'PASSED']
['./lmesh_thick_vias', '0:01:12', 'PASSED']
['./one_trace_low_freq_solution_CCMRP02620552', '0:00:58', 'PASSED']
['./regr_strip_diff_sep_wp_2764484', '0:04:03', 'PASSED']
['./port_generation_model', '0:01:53', 'PASSED']
['./multi_structure', '0:05:25', 'PASSED']
['./regr_one_trace_c3d', '0:00:18', 'PASSED']
['./legacy_antenna_fields', '0:00:00', 'PASSED']
['./magnetic_pwl_discrete_legacy', '0:01:38', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part4
['./zero_thickness_rect_WG_4-mode_external_PEC_discrete', '0:00:47', 'PASSED']
['./volumnmesh_failed', '0:02:13', 'PASSED']
['./thick_rect_WG_2-mode_external_DC_thickness_copper', '0:06:37', 'PASSED']
['./xmesh', '0:02:22', 'PASSED']
['./smodel_0_10GHz_update', '0:01:52', 'PASSED']
['./rfin_mmic_nom', '0:02:22', 'FAILED']
['./zero_thickness_rect_WG_4-mode_external_PEC_AFS', '0:00:36', 'PASSED']
['./strip1_3x_mixed', '0:01:00', 'PASSED']
