/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:10', 'PASSED']
['./arista_VerticalPorts_3', '0:00:09', 'PASSED']
['./arista_VerticalPorts_7', '0:00:10', 'PASSED']
['./DMeshTest_board_test_cut2', '0:01:11', 'PASSED']
['./arista_VerticalPorts_14', '0:00:11', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part1
['./58Dieblock_matfile', '0:02:10', 'PASSED']
['./CCMPR02323184', '0:00:19', 'PASSED']
['./2772972_new_wave_port_xmesh', '0:02:04', 'PASSED']
['./102_tt15371_Analyst_SPP_crash_Analyst', '0:00:06', 'FAILED']
['./4diff_4port_wp', '0:03:11', 'PASSED']
['./101_stripline_single_line_Lumped', '0:00:05', 'FAILED']
['./ABC_boundary', '0:01:10', 'PASSED']
['./Asus_cut_step7_setting', '0:00:37', 'PASSED']
['./56asym_strip', '0:04:39', 'PASSED']
['./2635280_lossymaterial', '0:01:01', 'PASSED']
['./0_metal_Z_location', '0:01:55', 'PASSED']
['./CCMPR02495122_open_spd_crash', '0:00:05', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part2
['./Wave3DSettingmeshAlgorithm_SNR', '0:00:06', 'PASSED']
['./MTC_overlapcase', '0:06:54', 'PASSED']
['./PCBInd_MInside_AFS002_BF1_05w_2764125', '0:08:32', 'PASSED']
['./CLA_Lumped_Both', '0:00:37', 'PASSED']
['./filldie_sfreq', '0:01:53', 'PASSED']
['./Wirebond_KNSstandard_Dmesh', '0:02:55', 'PASSED']
['./Fill_in_multiple_solution_frequency_crash', '0:00:06', 'PASSED']
['./CCMPR02507989_clf_incorrect_deembeding_snp_header_precheckin', '0:01:40', 'PASSED']
['./Mapping_top_bottom', '0:02:52', 'PASSED']
['./TempMapping_FiberWeave_Dmesh', '0:03:38', 'PASSED']
['./PML_ddr', '0:05:36', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part3
['./lmesh_thick_vias', '0:01:29', 'PASSED']
['./legacy_antenna_fields', '0:00:06', 'PASSED']
['./regr_one_trace_c3d', '0:00:25', 'PASSED']
['./legacy_antenna', '0:00:07', 'PASSED']
['./one_trace_low_freq_solution_CCMRP02620552', '0:00:50', 'PASSED']
['./rect-WG-single-mode-propagation-region', '0:00:38', 'PASSED']
['./initial_mesh_Horn_Coax_feed_RecreateWaveports', '0:06:06', 'PASSED']
['./initial_mesh_Design1_3DComp', '0:02:04', 'PASSED']
['./oneTrace_PEC_layers', '0:03:46', 'PASSED']
['./multi_structure', '0:06:24', 'PASSED']
['./magnetic_pwl_discrete_legacy', '0:01:52', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part4
['./zero_thickness_rect_WG_4-mode_external_PEC_discrete', '0:01:16', 'PASSED']
['./thick_rect_WG_2-mode_external_DC_thickness_copper', '0:06:48', 'PASSED']
['./workbench_AWR_flow_case', '0:01:32', 'PASSED']
['./xmesh', '0:04:15', 'PASSED']
['./smodel_0_10GHz_update', '0:02:40', 'PASSED']
['./rfin_mmic_nom', '0:02:51', 'PASSED']
['./regr_strip_diff_sep_wp_2764484', '0:03:48', 'PASSED']
['./strip1_3x_mixed', '0:01:16', 'PASSED']
['./volumnmesh_failed', '0:01:58', 'PASSED']
['./zero_thickness_rect_WG_4-mode_external_PEC_AFS', '0:00:51', 'PASSED']
['./wave3d_prepare_three_traces', '0:00:05', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/ECAD
['./Sample6_pkg_characterization_1', '0:00:08', 'PASSED']
['./stacked_die_transient_new', '0:03:24', 'PASSED']
['./vtm_with_techfile', '0:00:07', 'PASSED']
['./thermal_setup_flow2', '0:00:59', 'PASSED']
['./chip_static_TSV_size_diff', '0:00:04', 'PASSED']
['./2D_TransientET', '0:01:41', 'PASSED']
['./ThreeDHier', '0:02:33', 'PASSED']
['./single_transient_pwrmap_leakage_pwrmap', '0:00:15', 'PASSED']
['./2d_static_demo_w_multi_heatsink', '0:00:15', 'PASSED']
['./PCB_Transient_Files', '0:00:23', 'PASSED']
